header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Mon,September 8,8:15PM ET,boxscore,W,,1-0,@,Chicago Bears,27,24,14,254,134,120,1,20,317,198,119,1,-6.40,1.47,4.66
2,Sun,September 14,8:20PM ET,boxscore,L,,1-1,,Atlanta Falcons,6,22,10,198,120,78,4,19,326,108,218,1,-15.15,1.23,-4.06
3,Sun,September 21,1:00PM ET,boxscore,W,,2-1,,Cincinnati Bengals,48,10,22,352,183,169,,12,171,118,53,5,8.33,34.12,-2.65
4,Sun,September 28,9:30AM ET,boxscore,L,,2-2,@,Pittsburgh Steelers,21,24,23,372,302,70,2,19,313,182,131,,2.48,-9.51,0.40
5,Sun,October 5,9:30AM ET,boxscore,W,,3-2,@,Cleveland Browns,21,17,20,349,252,97,2,17,322,182,140,,4.01,3.75,-4.97
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 19,1:00PM ET,boxscore,L,,3-3,,Philadelphia Eagles,22,28,21,387,298,89,2,13,361,316,45,,0.99,-12.55,5.57
8,Thu,October 23,8:15PM ET,boxscore,L,,3-4,@,Los Angeles Chargers,10,37,12,164,130,34,1,29,419,212,207,1,-10.79,-22.71,10.42
9,Sun,November 2,1:00PM ET,boxscore,W,,4-4,@,Detroit Lions,27,24,20,258,116,142,1,15,305,240,65,1,3.11,-3.07,1.39
10,Sun,November 9,1:00PM ET,boxscore,L,,4-5,,Baltimore Ravens,19,27,18,365,245,120,3,23,321,169,152,,-2.43,-6.32,-0.22
11,Sun,November 16,1:00PM ET,boxscore,L,,4-6,,Chicago Bears,17,19,15,265,150,115,2,19,320,180,140,,-4.62,3.93,-0.05
12,Sun,November 23,1:00PM ET,boxscore,L,,4-7,@,Green Bay Packers,6,23,10,145,52,93,3,22,288,142,146,,-14.40,-4.80,-0.76
13,Sun,November 30,4:05PM ET,preview,,,,@,Seattle Seahawks,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,Washington Commanders,,,,,,,,,,,,,,,
15,Sun,December 14,8:20PM ET,preview,,,,@,Dallas Cowboys,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
17,Thu,December 25,4:30PM ET,preview,,,,,Detroit Lions,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Green Bay Packers,,,,,,,,,,,,,,,
