header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Blake Grupe,27,K,11,0,0,0,0,0,0,0,0,0,0,0,15,15,18,26,0,69,6.3,
2,Chris Olave,25,WR,11,11,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
3,Juwan Johnson,29,TE,11,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
4,Rashid Shaheed,27,WR,9,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.3,
5,Taysom Hill,35,TE,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
6,Jordan Howden,25,DB,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.6,
7,Alvin Kamara,30,RB,11,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
8,Kendre Miller,23,RB,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
9,Justin Reid,28,S,11,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
10,Jack Stoll,27,TE,10,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
11,Devaughn Vele,28,WR,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
