header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Ladd McConkey,24,WR,11,9,1,10,0,10,10.0,0,0,0,0,,654,
2,Cam Hart,25,CB,10,3,1,0,0,0,0.0,0,0,0,0,,0,
3,Tarheeb Still,23,CB,9,8,5,36,0,11,7.2,0,0,0,0,,36,
4,Derius Davis,25,WR,8,0,8,58,0,33,7.3,15,376,0,30,25.1,442,
5,Kimani Vidal,24,RB,8,6,0,0,0,0,,1,25,0,25,25.0,494,
6,Hassan Haskins,26,RB,7,0,0,0,0,0,,6,141,0,29,23.5,184,
7,KeAndre Lambert-Smith,24,WR,6,1,0,0,0,0,,9,219,0,34,24.3,220,
8,Omarion Hampton,22,RB,5,5,0,0,0,0,,1,30,0,30,30.0,480,
9,Nyheim Hines,29,RB,3,0,0,0,0,0,,7,195,0,40,27.9,193,
10,Trayveon Williams,28,RB,2,0,0,0,0,0,,3,73,0,26,24.3,72,
